fecha,id_local,id_producto,cantidad,importe,Nombre Tienda,Dirección,Cod Ubicación,Tipo Local,Cód Postal,ID_franquiciado,Alquiler,Fecha Apertura,Fecha fin contrato,Royalties,m2,terraza,salida_humos,nombre,sexo,tipo_contrato,perfil,número_locales,multifranquiciado,Localidad,Provincia,Comunidad autónoma,País,Habitantes,familia,categoria,marca,formato,producto,precio_venta,coste,año,mes
"2024-01-01,T002,P001,8,22.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Coca Cola,Botella,Botella Coca Cola,2.75,0.6875,2024,1"
"2024-01-01,T002,P002,5,13.75,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Naranja,Botella,Botella Fanta Naranja,2.75,0.6875,2024,1"
"2024-01-01,T002,P003,6,16.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Limón,Botella,Botella Fanta Limón,2.75,0.6875,2024,1"
"2024-01-01,T002,P004,3,8.25,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Nestea,Botella,Botella Nestea,2.75,0.6875,2024,1"
"2024-01-01,T002,P005,7,19.25,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Agua,Botella,Botella Agua,1.75,0.22,2024,1"
"2024-01-01,T002,P006,11,27.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Botellín,Botellín Heineken,2.5,0.725,2024,1"
"2024-01-01,T002,P007,21,73.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Tercio,Tercio Heineken,3.5,1.015,2024,1"
"2024-01-01,T002,P008,20,40.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Doble,Doble Heineken,2.0,0.62,2024,1"
"2024-01-01,T002,P009,13,39.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Jarra,Jarra Heineken,3.0,0.84,2024,1"
"2024-01-01,T002,P010,12,30.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Botellín,Botellín Estrella Galicia,2.5,0.7,2024,1"
"2024-01-01,T002,P011,26,91.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Tercio,Tercio Estrella Galicia,3.5,1.05,2024,1"
"2024-01-01,T002,P012,17,34.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Doble,Doble Estrella Galicia,2.0,0.58,2024,1"
"2024-01-01,T002,P013,15,45.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Jarra,Jarra Estrella Galicia,3.0,0.9,2024,1"
"2024-01-01,T002,P014,25,62.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Botellín,Botellín Alhambra,2.5,0.6,2024,1"
"2024-01-01,T002,P015,15,52.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Tercio,Tercio Alhambra,3.5,0.91,2024,1"
"2024-01-01,T002,P016,15,30.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Doble,Doble Alhambra,2.0,0.6,2024,1"
"2024-01-01,T002,P017,37,111.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Jarra,Jarra Alhambra,3.0,0.93,2024,1"
"2024-01-01,T002,P018,18,45.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Botellín,Botellín Mahou,2.5,0.63,2024,1"
"2024-01-01,T002,P019,19,66.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Tercio,Tercio Mahou,3.5,0.98,2024,1"
